year,batch,category,school_code,school_name,major_code,major_name,subject_requirement,level,study_years,plan_count,annual_fee
2025,常规批第2次,普通类,A019,中国农业大学,52,城乡规划（新生到北京报到，集体安排在双清路1号住宿；在北京完成第一年学习后，从第二年起到我校烟台研究院进行教学和实习至毕业；不得转入此类型以外专业）（退档后缺额计划）（不招色弱、色盲考生）,物理和化学,,4,1,5000
2025,常规批第2次,普通类,A209,吉林艺术学院,75,广播电视编导（繁荣路校区）（新增计划）（要求考生高考成绩不低于502分）,不限,,4,2,11000
2025,常规批第2次,普通类,A209,吉林艺术学院,76,戏剧影视文学（繁荣路校区）（新增计划）（要求考生高考成绩不低于502分）,不限,,4,2,10000
2025,常规批第2次,普通类,A209,吉林艺术学院,77,艺术管理（繁荣路校区）（新增计划）（要求考生高考成绩不低于500分）,不限,,4,3,12000
2025,常规批第2次,普通类,A212,黑龙江大学,30,考古学（退档后缺额计划）（不招色弱、色盲考生）,不限,,4,1,5000
2025,常规批第2次,普通类,A405,东华理工大学,0B,资源勘查工程(中外高水平大学学生交流计划)（要求外语单科成绩不低于105分；东华理工大学与澳大利亚昆士兰大学学分互认双学位联合培养项目，外语教学为英语，采取2+2模式(国内2年澳大利亚2年)，四年均须向东华理工大学缴付相应普通类本科生学费，第三、第四年须向昆士兰大学缴纳约24万元/年（人民币）学费）,物理和化学,,4,1,4940
2025,常规批第2次,普通类,A405,东华理工大学,0Z,化学工程与工艺(中外高水平大学学生交流计划)（要求外语单科成绩不低于105分；东华理工大学与澳大利亚昆士兰大学学分互认双学位联合培养项目，外语教学为英语，采取2+2模式(国内2年澳大利亚2年)，四年均须向东华理工大学缴付相应普通类本科生学费，第三、第四年须向昆士兰大学缴纳约24万元/年（人民币）学费）,物理和化学,,4,2,4940
2025,常规批第2次,普通类,A446,曲阜师范大学,E7,数学与应用数学(中外合作办学)（与新西兰坎特伯雷大学合作双学位联合培养项目，采取3+1模式，第四学年到外方高校学习，符合条件取得双方学士学位；国外学费按新西兰方标准收取；外语教学为英语，非英语语种考生谨慎报考）,物理和化学,,4,5,58000
2025,常规批第2次,普通类,A524,中南民族大学,33,材料类（材料化学(新能源存储与转化材料方向)、高分子材料与工程(新能源风电、汽车高分子材料方向)）（退档后缺额计划）（不招色弱、色盲考生）,物理和化学,,4,1,4500
2025,常规批第2次,普通类,A531,吉首大学,8D,化学工程与工艺（退档后缺额计划）（不招色弱、色盲考生）,物理和化学,,4,1,5900
2025,常规批第2次,普通类,A600,广西中医药大学,9A,康复治疗学(中澳学分互认联合培养项目)（不招色盲、色弱考生；高考英语单科成绩不低于105分；与澳大利亚麦考瑞大学合作，采取“2+2”分段培养模式，第三、四年需赴澳大利亚学习攻读学位，费用另计（澳方高校学费约47400澳元/学年），具体信息请查阅学校2025年招生章程）,物理和化学,,4,2,6450
2025,常规批第2次,普通类,A603,南宁师范大学,51,思想政治教育(师范类)（新增计划）,思想政治,,4,1,4192
2025,常规批第2次,普通类,A671,贵州财经大学,13,工商管理,物理,,4,1,4100
2025,常规批第2次,普通类,A681,云南师范大学,29,化学(师范类)（退档后缺额计划）（不招色弱、色盲考生）,物理和化学,,4,1,5000
2025,常规批第2次,普通类,A681,云南师范大学,44,应用心理学（退档后缺额计划）（不招色弱、色盲考生）,不限,,4,1,5000
2025,常规批第2次,普通类,A736,西北师范大学,30,化学(中外合作办学)（与英国南威尔士大学合作举办，不招色盲、色弱及单色识别不全者）,物理和化学,,4,3,40000
2025,常规批第2次,普通类,A757,塔里木大学,02,植物保护（退档后缺额计划）（不招色弱、色盲考生）,物理和化学,,4,1,3000
2025,常规批第2次,普通类,A757,塔里木大学,20,水产养殖学（退档后缺额计划）（不招色弱、色盲考生）,物理和化学,,4,1,3000
2025,常规批第2次,普通类,A846,江西科技学院,23,电子与计算机工程,物理和化学,,4,1,25000
2025,常规批第2次,普通类,A868,青岛滨海学院,21,数字经济,物理,,4,70,22800
2025,常规批第2次,普通类,A868,青岛滨海学院,22,工程管理,物理,,4,31,22800
2025,常规批第2次,普通类,A868,青岛滨海学院,23,工程造价,物理,,4,28,22800
2025,常规批第2次,普通类,A868,青岛滨海学院,24,工业工程,物理,,4,27,22800
2025,常规批第2次,普通类,A868,青岛滨海学院,26,工业设计,物理和化学,,4,2,22800
2025,常规批第2次,普通类,A868,青岛滨海学院,28,金属材料工程,物理和化学,,4,51,22800
2025,常规批第2次,普通类,A868,青岛滨海学院,34,物联网工程,物理和化学,,4,13,25800
2025,常规批第2次,普通类,A868,青岛滨海学院,36,土木工程,物理和化学,,4,34,22800
2025,常规批第2次,普通类,A868,青岛滨海学院,37,建筑环境与能源应用工程,物理和化学,,4,51,22800
2025,常规批第2次,普通类,A868,青岛滨海学院,38,给排水科学与工程,物理和化学,,4,46,22800
2025,常规批第2次,普通类,A868,青岛滨海学院,39,智能建造,物理和化学,,4,29,22800
2025,常规批第2次,普通类,A868,青岛滨海学院,41,食品营养与健康,物理和化学,,4,4,22800
2025,常规批第2次,普通类,A868,青岛滨海学院,43,预防医学,物理和化学,,5,60,24800
2025,常规批第2次,普通类,A868,青岛滨海学院,44,医学检验技术,物理和化学,,4,14,24800
2025,常规批第2次,普通类,A868,青岛滨海学院,45,医学影像技术,物理和化学,,4,25,24800
2025,常规批第2次,普通类,A868,青岛滨海学院,46,康复治疗学（不招色弱、色盲考生）,物理和化学,,4,8,24800
2025,常规批第2次,普通类,A868,青岛滨海学院,47,智能医学工程（不招色弱、色盲考生）,物理和化学,,4,6,24800
2025,常规批第2次,普通类,A908,山东工艺美术学院,W1,工业设计(中外合作办学)（就读校区以学校公布为准。合作学校：俄罗斯圣彼得堡国立工业技术与设计大学）,物理和化学,,4,52,48000
2025,常规批第2次,普通类,A997,昌吉学院,BN,飞行器制造工程（双眼矫正视力不低于4.8；无色盲、色弱）（退档后缺额计划）（不招色弱、色盲考生）,物理和化学,,4,1,3500
2025,常规批第2次,普通类,B065,青岛大学,8B,生物技术(中外合作办学)（与美国德雷克大学合作）（退档后缺额计划）（不招色弱、色盲考生）,物理和化学,,4,1,60000
2025,常规批第2次,普通类,B075,三峡大学,23,地质工程(智慧地质方向)（退档后缺额计划）（不招色弱、色盲考生）,物理和化学,,4,1,4500
2025,常规批第2次,普通类,B075,三峡大学,25,城乡规划(智慧城市与城市更新、乡村振兴方向)（退档后缺额计划）（不招色盲考生）,不限,,5,1,4500
2025,常规批第2次,普通类,B242,太原学院,YK,本科预科班（招收边防军人子女）,不限,,1,3,
2025,常规批第2次,普通类,B313,福建商学院,YK,本科预科班（招收边防军人子女）,不限,,1,4,
2025,常规批第2次,普通类,B400,西安培华学院,20,金融工程,物理,,4,2,20680
2025,常规批第2次,普通类,B400,西安培华学院,29,医学检验技术,物理和化学,,4,2,22880
2025,常规批第2次,普通类,B400,西安培华学院,31,口腔医学技术,物理和化学,,4,2,22880
2025,常规批第2次,普通类,B418,北京城市学院,56,食品质量与安全,物理和化学,,4,1,33800
2025,常规批第2次,普通类,B418,北京城市学院,59,中药学,物理和化学,,4,1,33800
2025,常规批第2次,普通类,B418,北京城市学院,60,康复治疗学,物理和化学,,4,1,33800
2025,常规批第2次,普通类,B418,北京城市学院,62,人工智能(数字技术产业学院),物理和化学,,4,1,36800
2025,常规批第2次,普通类,B418,北京城市学院,63,计算机科学与技术(数字技术产业学院),物理和化学,,4,5,36800
2025,常规批第2次,普通类,B418,北京城市学院,65,物联网工程(数字技术产业学院),物理和化学,,4,6,36800
2025,常规批第2次,普通类,B418,北京城市学院,66,数据科学与大数据技术(数字技术产业学院),物理和化学,,4,5,36800
2025,常规批第2次,普通类,B437,长春工程学院,YK,本科预科班（招收边防军人子女）,不限,,1,1,
2025,常规批第2次,普通类,B446,黑龙江东方学院,16,生物工程,物理和化学,,4,6,25000
2025,常规批第2次,普通类,B446,黑龙江东方学院,19,智能建造,物理和化学,,4,14,25000
2025,常规批第2次,普通类,B460,南京晓庄学院,1T,食品科学与工程（退档后缺额计划）（不招色弱、色盲考生）,物理和化学,,4,1,5800
2025,常规批第2次,普通类,B548,广西财经学院,G1,计算机科学与技术(中外高水平大学学生交流计划)（与澳大利亚麦考瑞大学联合培养，采用“2+2”模式，毕业可获中澳双学士学位；第一年在武鸣校区办学，第二年返回相思湖或明秀校区办学，第三、四年须赴麦考瑞大学学习，出国费用另计，考生一般应具有较好的英语基础；请考生报考前详细了解该项目收费情况和入学标准）,物理和化学,,4,1,4600
2025,常规批第2次,普通类,B549,南宁学院,11,工程造价,物理,,4,2,22500
2025,常规批第2次,普通类,B549,南宁学院,13,土木工程,物理和化学,,4,1,22500
2025,常规批第2次,普通类,B549,南宁学院,15,食品质量与安全,物理和化学,,4,2,22500
2025,常规批第2次,普通类,B549,南宁学院,20,物联网工程,物理和化学,,4,3,22500
2025,常规批第2次,普通类,B635,哈尔滨信息工程学院,01,软件工程（学生入学时自备笔记本电脑。招生咨询电话：0451-58607888。学校网址：https://www.greathiit.com/）（新增计划）,物理和化学,,4,7,27000
2025,常规批第2次,普通类,B810,海南医科大学,31,护理学(中外合作办学)（不招色盲、色弱考生；与英国西英格兰大学合作办学专业，高考外语成绩不低于105分）,化学,,4,3,78000
2025,常规批第2次,普通类,B837,桂林旅游学院,82,数据科学与大数据技术(中外合作办学)（较高收费专业）,物理和化学,,4,14,59800
2025,常规批第2次,普通类,C216,安徽新华学院,15,计算机科学与技术,物理和化学,,4,6,26000
2025,常规批第2次,普通类,C303,湖南涉外经济学院,X5,电子信息科学与技术,物理和化学,,4,1,31800
2025,常规批第2次,普通类,C303,湖南涉外经济学院,X6,软件工程,物理和化学,,4,2,32800
2025,常规批第2次,普通类,C303,湖南涉外经济学院,X9,物联网工程,物理和化学,,4,1,31800
2025,常规批第2次,普通类,C308,海口经济学院,1V,电气工程及其自动化(智能控制),物理和化学,,4,2,38900
2025,常规批第2次,普通类,C308,海口经济学院,2A,计算机科学与技术,物理和化学,,4,1,38900
2025,常规批第2次,普通类,C308,海口经济学院,2B,金融工程,物理,,4,2,36900
2025,常规批第2次,普通类,C308,海口经济学院,49,网络与新媒体(AI媒介应用)（新增计划）,不限,,4,1,54900
2025,常规批第2次,普通类,C308,海口经济学院,4A,人力资源管理（新增计划）,不限,,4,1,45900
